con,ctyName,cty,direction,eds,eds_dicts,eds_parts,ex_cons,polylines,s
Longford-Westmeath,Westmeath,county,,"['Athlone East Urban', 'Athlone West Urban', 'Athlone East Rural', 'Auburn', 'Ballybroder', 'Bellanalack', 'Carn', 'Castledaly', 'Glassan', 'Kilcumreragh', 'Killinure', 'Moate', 'Mount Temple', 'Moydrum', 'Muckanagh', 'Tubbrit', 'Umma', 'Ardnagragh', 'Ballymore', 'Doonis', 'Drumraney', 'Noughaval', 'Piercetown', 'Templepatrick', 'Winetown', 'Boherquill', 'Coole', 'Coolure', 'Finnea', 'Glore', 'Knockarrow', 'Rathowen', 'Street', 'Ardnaglew', 'Ballinalack', 'Ballykilmore', 'Ballymorin', 'Ballynagore', 'Belvidere', 'Carrick', 'Castle', 'Castlelost', 'Castletown', 'Churchtown', 'Cloghan', 'Clonfad', 'Clonlost', 'Derrymore', 'Dysart', 'Emper', 'Enniscoffey', 'Gaybrook', 'Glenlough', 'Greenpark', 'Griffinstown', 'Heathstown', 'Hopestown', 'Huntingdon', 'Jamestown', 'Kilbeggan', 'Kilbixy', 'Killare', 'Killucan', 'Kinnegad', 'Knockdrin', 'Lackan', 'Lauree', 'Middleton', 'Milltown', 'Mullingar Rural', 'Mullingar North Urban', 'Mullingar South Urban', 'Multyfarnham', 'Newtown', 'Owel', 'Portloman', 'Raharney', 'Rahugh', 'Rathconrath', 'Russellstown', 'Skeagh', 'Sonna', 'Stonehall', 'Streamstown', 'Taghmon', 'Tullaghan', 'Woodland']","{'': ['Athlone East Urban', 'Athlone West Urban'], 'Rural District of Athlone No. 1': ['Athlone East Rural', 'Auburn', 'Ballybroder', 'Bellanalack', 'Carn', 'Castledaly', 'Glassan', 'Kilcumreragh', 'Killinure', 'Moate', 'Mount Temple', 'Moydrum', 'Muckanagh', 'Tubbrit', 'Umma'], 'Rural District of Ballymore': ['Ardnagragh', 'Ballymore', 'Doonis', 'Drumraney', 'Noughaval', 'Piercetown', 'Templepatrick', 'Winetown'], 'Rural District of Coole': ['Boherquill', 'Coole', 'Coolure', 'Finnea', 'Glore', 'Knockarrow', 'Rathowen', 'Street'], 'Rural District of Mullingar': ['Ardnaglew', 'Ballinalack', 'Ballykilmore', 'Ballymorin', 'Ballynagore', 'Belvidere', 'Carrick', 'Castle', 'Castlelost', 'Castletown', 'Churchtown', 'Cloghan', 'Clonfad', 'Clonlost', 'Derrymore', 'Dysart', 'Emper', 'Enniscoffey', 'Gaybrook', 'Glenlough', 'Greenpark', 'Griffinstown', 'Heathstown', 'Hopestown', 'Huntingdon', 'Jamestown', 'Kilbeggan', 'Kilbixy', 'Killare', 'Killucan', 'Kinnegad', 'Knockdrin', 'Lackan', 'Lauree', 'Middleton', 'Milltown', 'Mullingar Rural', 'Mullingar North Urban', 'Mullingar South Urban', 'Multyfarnham', 'Newtown', 'Owel', 'Portloman', 'Raharney', 'Rahugh', 'Rathconrath', 'Russellstown', 'Skeagh', 'Sonna', 'Stonehall', 'Streamstown', 'Taghmon', 'Tullaghan', 'Woodland']}",,,,"the electoral divisions of:
Athlone East Rural, Auburn, Ballybroder, Bellanalack, Carn, Castledaly, Glassan, Kilcumreragh, Killinure, Moate, Mount Temple, Moydrum, Muckanagh, Tubbrit, Umma, in the former Rural District of Athlone No. 1;
Ardnagragh, Ballymore, Doonis, Drumraney, Noughaval, Piercetown, Templepatrick, Winetown, in the former Rural District of Ballymore;
Boherquill, Coole, Coolure, Finnea, Glore, Knockarrow, Rathowen, Street, in the former Rural District of Coole;
Ardnaglew, Ballinalack, Ballykilmore, Ballymorin, Ballynagore, Belvidere, Carrick, Castle, Castlelost, Castletown, Churchtown, Cloghan, Clonfad, Clonlost, Derrymore, Dysart, Emper, Enniscoffey, Gaybrook, Glenlough, Greenpark, Griffinstown, Heathstown, Hopestown, Huntingdon, Jamestown, Kilbeggan, Kilbixy, Killare, Killucan, Kinnegad, Knockdrin, Lackan, Lauree, Middleton, Milltown, Mullingar Rural, Mullingar North Urban, Mullingar South Urban, Multyfarnham, Newtown, Owel, Portloman, Raharney, Rahugh, Rathconrath, Russellstown, Skeagh, Sonna, Stonehall, Streamstown, Taghmon, Tullaghan, Woodland, in the former Rural District of Mullingar;
and Athlone East Urban, Athlone West Urban"
Louth,Louth,county,,,,,,,
Louth,Meath,county,,"['Julianstown', 'St. Mary’s (part)']","{'': [], 'Rural District of Meath': ['Julianstown', 'St. Mary’s (part)']}",,,,"the electoral divisions of:
Julianstown, St. Mary’s (part), in the former Rural District of Meath"
Mayo,Mayo,county,,,,,['Galway West'],,except the part thereof which is comprised in the constituency of Galway West
Meath East,Meath,county,,"['Ceannanas Mór Urban', 'Grangegeeth', 'Killary', 'Culmullin', 'Donaghmore', 'Dunboyne', 'Dunshaughlin', 'Kilbrew', 'Killeen', 'Kilmore', 'Rathfeigh', 'Ratoath', 'Rodanstown', 'Skreen', 'Ceanannas Mór Rural', 'Cruicetown', 'Maperath', 'Moynalty', 'Newcastle', 'Newtown', 'Nobber', 'Staholmog', 'Ardcath', 'Duleek', 'Mellifont', 'Stamullin', 'Ardmulchan', 'Castletown', 'Domhnach Phádraig', 'Kentstown', 'Painestown', 'Rathkenny', 'Slane', 'Stackallan', 'Tara']","{'': ['Ceannanas Mór Urban'], 'Rural District of Ardee No. 2': ['Grangegeeth', 'Killary'], 'Rural District of Dunshaughlin': ['Culmullin', 'Donaghmore', 'Dunboyne', 'Dunshaughlin', 'Kilbrew', 'Killeen', 'Kilmore', 'Rathfeigh', 'Ratoath', 'Rodanstown', 'Skreen'], 'Rural District of Kells': ['Ceanannas Mór Rural', 'Cruicetown', 'Maperath', 'Moynalty', 'Newcastle', 'Newtown', 'Nobber', 'Staholmog'], 'Rural District of Meath': ['Ardcath', 'Duleek', 'Mellifont', 'Stamullin'], 'Rural District of Navan': ['Ardmulchan', 'Castletown', 'Domhnach Phádraig', 'Kentstown', 'Painestown', 'Rathkenny', 'Slane', 'Stackallan', 'Tara']}",,,,"the electoral divisions of:
Grangegeeth, Killary, in the former Rural District of Ardee No. 2;
Culmullin, Donaghmore, Dunboyne, Dunshaughlin, Kilbrew, Killeen, Kilmore, Rathfeigh, Ratoath, Rodanstown, Skreen, in the former Rural District of Dunshaughlin;
Ceanannas Mór Rural, Cruicetown, Maperath, Moynalty, Newcastle, Newtown, Nobber, Staholmog, in the former Rural District of Kells;
Ardcath, Duleek, Mellifont, Stamullin, in the former Rural District of Meath;
Ardmulchan, Castletown, Domhnach Phádraig, Kentstown, Painestown, Rathkenny, Slane, Stackallan, Tara, in the former Rural District of Navan;
and Ceannanas Mór Urban"
Meath West,Meath,county,,,,,"['Cavan-Monaghan', 'Louth', 'Meath East']",,"except the parts thereof which are comprised in the constituencies of Cavan-Monaghan, Louth and Meath East"
Meath West,Westmeath,county,,,,,['Longford-Westmeath'],,except the part thereof which is comprised in the constituency of Longford-Westmeath
Roscommon-Galway,Roscommon,county,,,,,['Sligo-Leitrim'],,except the part which is comprised in the constituency of Sligo-Leitrim
Roscommon-Galway,Galway,county,,,,,"['Galway East', 'Galway West']",,except the part thereof which is comprised in the constituencies of Galway East and Galway West
Sligo-Leitrim,Sligo,county,,,,,,,
Sligo-Leitrim,Leitrim,county,,,,,,,
Sligo-Leitrim,Donegal,county,,"['Bundoran Urban', 'Ballintra', 'Ballyshannon Rural', 'Ballyshannon Urban', 'Bundoran Rural', 'Carrickboy', 'Cavangarden', 'Cliff', 'Ballintra']","{'': ['Bundoran Urban'], 'Rural District of Ballyshannon': ['Ballintra', 'Ballyshannon Rural', 'Ballyshannon Urban', 'Bundoran Rural', 'Carrickboy', 'Cavangarden', 'Cliff'], 'Rural District of Donegal': ['Ballintra']}",,,,"the electoral divisions of:
Ballintra, Ballyshannon Rural, Ballyshannon Urban, Bundoran Rural, Carrickboy, Cavangarden, Cliff, in the former Rural District of Ballyshannon;
Ballintra in the former Rural District of Donegal;
and Bundoran Urban"
Sligo-Leitrim,Roscommon,county,,"['Aghafin', 'Altagowlan', 'Ballyfarnan', 'Ballyformoyle', 'Boyle Rural', 'Boyle Urban', 'Crossna', 'Danesfort', 'Keadew', 'Kilbryan', 'Killukin', 'Lough Allen', 'Oakport', 'Rockingham', 'Rushfield', 'Tivannagh', 'Tumna North', 'Tumna South']","{'': [], 'Rural District of Boyle No. 1': ['Aghafin', 'Altagowlan', 'Ballyfarnan', 'Ballyformoyle', 'Boyle Rural', 'Boyle Urban', 'Crossna', 'Danesfort', 'Keadew', 'Kilbryan', 'Killukin', 'Lough Allen', 'Oakport', 'Rockingham', 'Rushfield', 'Tivannagh', 'Tumna North', 'Tumna South']}",,,,"the electoral divisions of:
Aghafin, Altagowlan, Ballyfarnan, Ballyformoyle, Boyle Rural, Boyle Urban, Crossna, Danesfort, Keadew, Kilbryan, Killukin, Lough Allen, Oakport, Rockingham, Rushfield, Tivannagh, Tumna North, Tumna South, in the former Rural District of Boyle No. 1"
Tipperary,Tipperary,county,,,,,['Limerick City'],,except the part thereof which is comprised in the constituency of Limerick City
Waterford,Waterford,city and county,,,,,,,
Wexford,Wexford,county,,,,,,,
Wicklow,Wicklow,county,,,,,,,
